China,"1,401,783,320"
India,"1,359,852,605"
US,"329,459,544"
Indonesia,"266,911,900"
Pakistan,"218,961,520"
Brazil,"211,261,692"
Nigeria,"206,139,587"
Bangladesh,"168,276,278"
Russia,"146,745,098"
Mexico,"126,577,691"
Japan,"126,010,000"
Philippines,"108,411,686"
Egypt,"100,135,069"
Ethiopia,"98,665,000"
Vietnam,"96,208,984"
DR Congo,"89,561,404"
Iran,"83,284,684"
Turkey,"83,154,997"
Germany,"83,149,300"
France,"67,069,000"
 Thailand,"66,482,017"
 United Kingdom,"66,435,600"
 Italy,"60,243,406"
 South Africa,"58,775,022"
 Tanzania[g],"55,890,747"
 Myanmar,"54,339,766"
 South Korea,"51,780,579"
 Colombia,"49,395,678"
 Kenya,"47,564,296"
 Spain,"47,100,396"
 Argentina,"44,938,712"
 Algeria,"43,000,000"
 Sudan,"42,348,345"
 Ukraine[h],"41,902,416"
 Uganda,"40,299,300"
 Iraq,"39,127,900"
 Poland,"38,386,000"
 Canada,"37,959,208"
 Morocco[i],"35,840,310"
 Saudi Arabia,"34,218,169"
 Uzbekistan,"34,072,134"
 Malaysia,"32,720,760"
 Afghanistan,"32,225,560"
 Venezuela,"32,219,521"
 Peru,"32,131,400"
 Angola,"31,127,674"
 Ghana,"30,280,811"
 Mozambique,"30,066,648"
 Yemen,"29,825,968"
 Nepal,"29,609,623"
 Cameroon,"26,545,864"
 Ivory Coast,"25,823,071"
 Madagascar,"25,680,342"
 Australia,"25,647,852"
 North Korea,"25,450,000"
 Taiwan[j],"23,604,265"
 Niger,"22,314,743"
 Sri Lanka,"21,803,000"
 Burkina Faso,"20,870,060"
 Mali,"19,973,000"
 Romania,"19,405,156"
 Chile,"19,107,216"
 Kazakhstan,"18,664,000"
 Malawi,"17,563,749"
 Syria,"17,500,657"
 Netherlands,"17,445,081"
 Ecuador,"17,445,232"
 Zambia,"17,381,168"
 Guatemala,"16,604,026"
 Senegal,"16,209,125"
 Somalia[k],"15,893,219"
 Chad,"15,692,969"
 Cambodia,"15,288,489"
 Zimbabwe,"15,159,624"
 South Sudan,"12,778,250"
 Rwanda,"12,374,397"
 Guinea,"12,218,357"
 Benin,"11,733,059"
 Tunisia,"11,722,038"
 Haiti,"11,577,779"
 Belgium,"11,524,454"
 Bolivia,"11,469,896"
 Cuba,"11,209,628"
 Burundi,"10,953,317"
 Greece,"10,724,599"
 Czech Republic,"10,681,161"
 Jordan,"10,637,088"
 Dominican Republic,"10,358,320"
 Sweden,"10,333,456"
 Portugal,"10,276,617"
 Azerbaijan,"10,067,108"
 United Arab Emirates,"9,890,400"
 Hungary,"9,772,756"
 Belarus,"9,413,446"
 Israel,"9,172,350"
 Honduras,"9,158,345"
 Tajikistan,"9,127,000"
 Papua New Guinea,"8,935,000"
 Austria,"8,902,600"
 Switzerland,"8,586,550"
 Sierra Leone,"7,901,454"
 Togo,"7,538,000"
 Hong Kong (China),"7,500,700"
 Paraguay,"7,152,703"
 Laos,"7,123,205"
 Bulgaria,"7,000,039"
 Serbia[l],"6,963,764"
 Libya,"6,871,287"
 Lebanon,"6,825,442"
 Kyrgyzstan,"6,523,500"
 El Salvador,"6,486,201"
 Nicaragua,"6,460,411"
 Turkmenistan,"6,031,187"
 Denmark,"5,822,763"
 Singapore,"5,703,600"
 Finland,"5,527,573"
 Congo,"5,518,092"
 Central African Republic,"5,496,011"
 Slovakia,"5,456,362"
 Norway,"5,367,580"
 Costa Rica,"5,058,007"
 Palestine,"4,976,684"
 New Zealand,"4,970,700"
 Ireland,"4,921,500"
 Oman,"4,664,790"
 Liberia,"4,475,353"
 Kuwait,"4,420,110"
 Panama,"4,218,808"
 Mauritania,"4,077,347"
 Croatia,"4,076,246"
 Georgia[m],"3,723,464"
 Uruguay,"3,518,552"
 Eritrea,"3,497,117"
 Mongolia,"3,307,804"
 Bosnia and Herzegovina,"3,301,000"
 Puerto Rico (US),"3,193,694"
 Armenia,"2,957,500"
 Albania,"2,862,427"
 Lithuania,"2,793,350"
 Qatar,"2,747,282"
 Jamaica,"2,726,667"
 Moldova[n],"2,681,735"
 Namibia,"2,458,936"
 Gambia,"2,347,706"
 Botswana,"2,338,851"
 Gabon,"2,172,579"
 Slovenia,"2,094,060"
 North Macedonia,"2,077,132"
 Lesotho,"2,007,201"
 Latvia,"1,906,800"
 Kosovo[o],"1,795,666"
 Guinea-Bissau,"1,604,528"
 Bahrain,"1,543,300"
 East Timor,"1,387,149"
 Trinidad and Tobago,"1,363,985"
 Equatorial Guinea,"1,358,276"
 Estonia,"1,328,360"
 Mauritius,"1,265,985"
 Eswatini,"1,093,238"
 Djibouti,"1,078,373"
 Fiji,"884,887"
 Cyprus,"875,900"
 Comoros,"873,724"
 Guyana,"782,766"
 Bhutan,"741,672"
 Solomon Islands,"680,806"
 Macau (China),"679,600"
 Montenegro,"622,359"
 Luxembourg,"613,894"
 Western Sahara[p],"582,463"
 Suriname,"581,372"
 Cape Verde,"550,483"
 Malta,"493,559"
 Transnistria[q],"469,000"
 Brunei,"442,400"
 Belize,"408,487"
 Bahamas,"385,340"
 Maldives,"374,775"
 Iceland,"364,260"
 Northern Cyprus[r],"351,965"
 Vanuatu,"304,500"
 Barbados,"287,025"
 New Caledonia (France),"282,200"
 French Polynesia (France),"275,918"
 Abkhazia[s],"244,832"
 São Tomé and Príncipe,"201,784"
 Samoa,"200,874"
 Saint Lucia,"178,696"
 Guam (US),"172,400"
 Curaçao (Netherlands),"158,665"
 Artsakh[t],"148,000"
 Kiribati,"120,100"
 Aruba (Netherlands),"112,309"
 Grenada,"112,003"
 Saint Vincent and the Grenadines,"110,608"
 Jersey (UK),"106,800"
 U.S. Virgin Islands (US),"104,578"
 F.S. Micronesia,"104,468"
 Tonga,"100,651"
 Seychelles,"97,625"
 Antigua and Barbuda,"96,453"
 Isle of Man (UK),"83,314"
 Andorra,"77,543"
 Dominica,"71,808"
 Cayman Islands (UK),"65,813"
 Bermuda (UK),"64,027"
 Guernsey (UK),"62,792"
 American Samoa (US),"56,700"
 Greenland (Denmark),"56,081"
 Northern Mariana Islands (US),"56,200"
 Marshall Islands,"55,500"
 South Ossetia[u],"53,532"
 Saint Kitts and Nevis,"52,823"
 Faroe Islands (Denmark),"52,124"
 Turks and Caicos Islands (UK),"41,369"
 Sint Maarten (Netherlands),"40,614"
 Liechtenstein,"38,557"
 Monaco,"38,300"
 Saint Martin (France),"35,746"
 Gibraltar (UK),"33,701"
 San Marino,"33,574"
 British Virgin Islands (UK),"30,030"
 Åland Islands (Finland),"29,885"
 Palau,"17,900"
 Cook Islands (NZ),"15,200"
 Anguilla (UK),"14,869"
 Wallis and Futuna (France),"11,700"
 Nauru,"11,000"
 Tuvalu,"10,200"
 Saint Barthélemy (France),"9,793"
 Saint Pierre and Miquelon (France),"6,008"
" Saint Helena, Ascension","5,633"
and Tristan da Cunha (UK),
 Montserrat (UK),"4,989"
 Falkland Islands (UK),"3,198"
 Christmas Island (Australia),"1,928"
 Norfolk Island (Australia),"1,756"
 Niue (NZ),"1,520"
 Tokelau (NZ),"1,400"
 Vatican City,799
 Cocos (Keeling) Islands (Australia),538
 Pitcairn Islands (UK),50