county,confirmed,confirmed/1M,confirmed/sqmi,days_since_peak,deaths,deaths/1M,last_peak_pct,last_peak_value,new_cases/1M,pct_change_2day,pct_change_2day_prev
"Los Angeles, CA",4605,455.69163302662963,1.134829024022396,5,93,9.20289291454431,5,2,51.5559914890063,0.06867119088961404,0.1575437710117522
"Cook, IL",7439,1435.963720055215,7.869209693969301,0,167,32.23631418863031,0,0,103.46505631799909,0.15672826990657873,0.11400575528834467
"Harris, TX",1284,273.2717847520729,0.7537511447155235,7,17,3.6180843775585974,0,0,32.13710241243225,0.15952775437168032,0.1865485450378499
"Maricopa, AZ",1171,265.48327478040386,0.12728067181586367,5,28,6.348020233861066,0,0,19.95092073499192,0.10393625959612696,0.10432972777657978
"San Diego, CA",1112,332.5991426599078,0.26434461790078995,0,17,5.084699123397871,0,0,34.99469396691476,0.1444739518176299,0.18692123737836508
"Orange, CA",786,246.7068093590394,0.9942193607144212,3,14,4.394268868990523,0,0,17.263199128177057,0.09466334774107232,0.1448397827830592
"Miami-Dade, FL",3890,1408.6133993534863,2.0498282149105242,2,31,11.225453825182024,2,0,173.08925575603251,0.16099432003118097,0.1739190980836588
"Dallas, TX",1105,418.91414420958296,1.2682490129464696,0,18,6.8239408106538395,0,0,34.119704053269196,0.1540430469157289,0.1476387554985138
"Riverside, CA",638,260.32762108702696,0.0885314328215717,0,15,6.120555354710665,0,0,0.0,0.1470588235294118,0.16442048517520214
"King, WA",2898,1297.7109149667983,1.3698435882528113,7,200,89.55906935588669,2,2,58.66119042810578,0.044575030477129185,0.06995708154506441
"Clark, NV",1418,635.405151441962,0.17968859889779165,5,41,18.37208124761667,2,2,69.00732956421871,0.12278377204413171,0.13826219092358005
"San Bernardino, CA",353,162.55273178384815,0.01759989310433197,2,13,5.986361227167213,3,2,23.024466258335433,0.1790173021135516,0.42598907103825134
"Tarrant, TX",404,193.77140058831682,0.4678037540093329,5,9,4.316689617066464,1,1,27.818666421094992,0.11664591283390235,0.09170863858363865
"Bexar, TX",342,172.20118939663624,0.2758464938458809,0,9,4.531610247279901,0,0,12.58780624244417,0.22781349929512085,0.1692115251897861
"Broward, FL",1765,904.5437307175877,1.458930888831946,5,31,15.88717034121542,0,0,59.961255803942066,0.09175315362974823,0.10638743434580178
"Santa Clara, CA",1148,592.4947227713063,0.8898534997287033,5,39,20.128305041882356,0,0,0.0,0.06329735034347395,0.07002844248037232
"Wayne, MI",6762,3855.423335403015,11.047575480329368,1,252,143.68037274793843,1,1,585.5545349687809,0.15592801621093477,0.16539581143365412
"Alameda, CA",443,265.78623227316825,0.5994425049389732,1,12,7.199627059318328,0,0,50.39738941522829,0.19047407156905494,0.05300353356890464
"New York City, NY",63306,7593.561078591306,209.6225165562914,0,1905,228.50494194415123,0,0,641.7330390557528,0.10540301551343045,0.09615307575626608
"Middlesex, MA",2468,1528.444046437945,3.0177789733682228,1,38,23.53357932116771,2,1,205.60916670072842,0.14916969016985038,0.1813225276902466
"Philadelphia, PA",3008,1898.8244711003713,22.431021625652498,0,24,15.15019524814126,0,0,208.31518466194234,0.19750146972369198,0.26374780091935757
"Sacramento, CA",390,253.08651989811645,0.40429590313484826,2,10,6.48939794610555,1,1,49.31942439040218,0.32191196542311185,0.0
"Palm Beach, FL",954,642.0174152271187,0.48432296320363905,2,35,23.55409804292364,2,2,81.42988180553603,0.13803360818286192,0.16443087283982627
"Suffolk, NY",11370,7676.763039187951,12.4664217970506,1,124,83.72195398938487,1,1,950.6492840084991,0.14037182072506904,0.14145469068866834
"Hillsborough, FL",497,345.8863878047558,0.4871546054243734,2,5,3.4797423320397973,2,2,41.06095951806961,0.10973686461518717,0.1602790598970768
"Nassau, NY",13346,9825.20615190714,46.874121944366394,1,95,69.93815258738036,1,1,1057.9065817691114,0.1228396376228369,0.11316693147329704
"Orange, FL",657,487.03645360366204,0.7272284515679135,2,8,5.930428658796494,2,2,45.219518523323266,0.10205814260536361,0.21552018930896755
"Franklin, OH",557,425.0934900404487,1.0466186888141453,7,6,4.579104021979699,1,1,47.31740822712356,0.12397271698606549,0.16547708046429277
"Hennepin, MN",252,200.09083488694867,0.45521053487237845,12,9,7.146101245962453,0,0,5.558078746859685,0.03555477404606999,0.0733045511782695
"Oakland, MI",2785,2211.719971632805,3.2097826337505477,1,142,112.76992314967984,1,1,283.5131166509556,0.12999655534354593,0.17171738279129
"Travis, TX",430,344.3462746137516,0.43425570591799634,2,4,3.2032211591976893,0,0,0.0,0.1125356125356125,0.21926229508196726
"Cuyahoga, OH",781,627.885681392636,1.7082613355497713,1,13,10.451362174269228,1,1,94.06225956842306,0.08887631975867272,0.12164186557475287
"Allegheny, PA",552,453.03384950740775,0.7560918816003944,0,3,2.462140486453303,0,0,46.78066924261276,0.14785102585186827,0.1361754537597234
"Salt Lake, UT",650,563.926245387734,0.8756803362612492,0,4,3.4703153562322093,0,0,56.3926245387734,0.16901668245856571,0.101010101010101
"Fairfax, VA",387,336.2892609022458,0.9898457682175102,8,2,1.7379289969108311,3,1,38.23443793203829,0.08723446105428789,0.15960837887067392
"Contra Costa, CA",307,266.90662180548856,0.4288068832583736,1,5,4.347013384454211,0,0,49.555952582778005,0.11600803212851407,0.15410907072949254
"Mecklenburg, NC",650,594.2036802233474,1.2408368967623702,2,4,3.6566380321436767,2,2,62.1628465464425,0.10455525968289248,0.12879665379665384
"Wake, NC",283,259.0851456324012,0.3388328823543497,2,0,0.0,2,2,21.97188514197042,0.06235421948569353,0.1410153494368629
"Montgomery, MD",640,608.0373030885445,1.3027989821882953,0,9,8.550524574682656,1,0,64.60396345315785,0.13364411710446022,0.13307790770082328
"Fulton, GA",941,896.0931860731312,1.7868332605434556,1,26,24.759216618386194,1,1,161.8871855817559,0.15282873449005063,0.1178812415654521
"Pima, AZ",326,313.74119046496253,0.035484769849701316,0,11,10.58635918746806,1,0,41.38304046010242,0.17286015672091626,0.08321166218004294
"Collin, TX",256,254.68936850964934,0.304319916312023,7,3,2.9846410372224534,0,0,19.897606914816354,0.11218583072634025,0.13749999999999996
"St. Louis, MO",864,866.6476084437958,1.7014572666404095,0,7,7.021450531373346,0,0,0.0,0.1067415730337079,0.20326715044009946
"Fresno, CA",100,100.5631536604988,0.016784183927801156,3,1,1.005631536604988,3,3,12.067578439259854,0.1050856253243383,0.24445061043285232
"Honolulu, HI",266,271.4064158027916,0.44278722908412954,1,3,3.0609746143171987,1,1,56.11786792914864,0.21228033569805727,0.1443660358337534
"Pinellas, FL",342,350.66852596177506,1.2490869247626004,2,7,7.177425969977852,2,2,46.140595521286194,0.12015343147418622,0.311923212398732
"Westchester, NY",13081,13518.848464053774,30.385598141695702,9,67,69.24263031049635,2,2,810.242121842226,0.06344177624516889,0.07729267699198805
"Marion, IN",1570,1644.5473304911645,3.961645218268988,8,34,35.61440078770675,0,0,130.93529701362775,0.09726464729292872,0.16306320278457787
"Duval, FL",387,407.2908214329691,0.507747412062609,2,9,9.471879568208584,0,0,38.93994933596862,0.16375652211565528,0.18253335106147228
"Milwaukee, WI",1023,1078.8851730803913,4.237779618889809,1,24,25.311089104525305,0,0,162.4128217540374,0.14565887698799096,0.12466044239505103
"Fairfield, CT",2824,2992.0864399363018,4.519195378386597,1,86,91.11877968644545,1,1,618.7600853126063,0.15684278005122865,0.06777334388850298
"Bergen, NJ",5760,6149.299876586968,24.719969100038625,0,179,191.09803435921307,1,0,818.839063427466,0.1854213036231207,0.1871270063122501
"Shelby, TN",689,736.2967585844294,0.9028132657206127,2,8,8.549164105479587,0,0,2.1372910263698968,0.039848648119122254,0.22258441362677117
"DuPage, IL",590,635.3725921801788,1.8015267175572518,0,18,19.384248574988504,0,0,55.99894032774457,0.14803571428571427,0.1219903691813804
"Gwinnett, GA",364,392.33396674430713,0.8457642083739951,4,8,8.622724543830925,1,1,50.658506695006686,0.13652482269503552,0.08921008403361341
"Erie, NY",808,878.5292029413332,0.7749187198496197,1,22,23.9203495850363,1,1,127.21276824769305,0.1452223336086098,0.11323506118766746
"Prince George's, MD",653,718.1285109115943,1.3528351529967475,1,13,14.296585975269105,1,1,98.97636444417073,0.17506637276144477,0.177757726144823
"Kern, CA",210,234.17532371950702,0.02582415960806304,0,2,2.230241178281019,4,0,34.5687382633558,0.21609134576243583,0.3081051478641841
"Hartford, CT",726,813.2658673659707,0.9876207318732145,1,26,29.125223900158733,1,1,156.8281286931624,0.1644798500468604,0.1713189776309293
"Pierce, WA",620,695.6139297811396,0.3713664488382819,2,8,8.975663610079222,2,2,81.9029304419729,0.11620035307605203,0.16047745358090182
"San Francisco, CA",529,598.8871341156225,11.286537230637935,8,8,9.056894277740984,1,1,53.20925388172828,0.08441538117594449,0.06503267594516482
"Macomb, MI",1838,2101.1501453543206,3.8353991903509868,0,78,89.16741639697334,0,0,260.6432171603836,0.17468814968814972,0.24988147369146962
"Hidalgo, TX",86,99.31415492315278,0.054746732702260534,1,0,0.0,2,1,19.63186783364648,0.18140057166190282,0.2791762013729977
"Denton, TX",273,317.78773176387324,0.3107817355964619,8,6,6.984345753052159,1,1,22.11709488466517,0.15390642917208164,0.12424242424242427
"New Haven, CT",1024,1194.0020055502437,1.6939339299598022,1,29,33.814509922809634,1,1,284.508290385019,0.2631978379015989,0.12036899270941825
"Ventura, CA",203,238.55214126987298,0.11013873139713422,0,6,7.050802205020876,0,0,19.977272914225814,0.1265713276836158,0.12818259294769363
"El Paso, TX",103,122.50849828369162,0.10170930887043418,2,0,0.0,0,0,11.89402895958171,0.17254901960784308,0.19563058589870908
"Worcester, MA",915,1101.2964003856343,0.605651422784408,1,17,20.461244597328726,1,1,190.16921449281992,0.1729862341556495,0.24247781802370183
"Middlesex, NJ",2578,3107.2033362059096,8.345472791427923,0,76,91.60102930630299,0,0,432.6943358021418,0.20823036439944043,0.17599987621691626
"Montgomery, PA",982,1185.125826088216,2.0329579330904273,1,17,20.516434871180927,1,1,168.95887540972527,0.1563809523809524,0.13555402373421999
"Baltimore, MD",491,592.686657066189,0.820658532508775,1,4,4.828404538217425,3,1,89.32548395702237,0.17975731601329514,0.24729052025059828
"Hamilton, OH",288,352.6455765020498,0.709516887980094,0,2,2.448927614597568,0,0,30.611595182469596,0.27958432501245367,0.19888981985756182
"Snohomish, WA",1503,1844.3958223146124,0.7200793380827588,4,45,55.22143180582672,0,0,0.0,0.04614825581395354,0.058119973842767014
"Multnomah, OR",175,215.54909592550624,0.405750057964294,2,3,3.695127358722964,1,1,18.47563679361482,0.14388992537313428,0.15758620689655167
"Suffolk, MA",2429,3008.9736538280486,41.77128116938951,1,26,32.20803417024671,4,1,355.5271464177233,0.13203013408173248,0.17514952335506373
"Essex, NJ",3584,4481.305180133714,28.397115917914586,0,155,193.8064461274346,1,0,562.6638758538425,0.1702606256725514,0.17373353808925496
"Oklahoma, OK",256,322.99497086736767,0.3611636240512401,3,10,12.616991049506549,3,3,26.495681203963755,0.08869549929676512,0.18185483870967745
"Essex, MA",1400,1770.7218727154525,2.842293324671106,1,25,31.620033441347367,1,1,251.69546619312504,0.16119326866114903,0.15141891502363658
"Fort Bend, TX",255,323.66238586141156,0.288135593220339,4,2,2.5385285165600906,0,0,34.27013497356123,0.14651070578905623,0.0950920245398773
"Jefferson, KY",299,388.05113968932545,0.7859733978234582,4,11,14.276128884891573,0,0,0.0,0.1557017543859649,0.05339805825242716
"San Mateo, CA",538,699.1144117627949,1.1997948306237594,3,13,16.89309916898947,0,0,42.88248250589634,0.08992178344643387,0.21159460180829415
"Cobb, GA",428,565.4905432276562,1.2604918274186423,1,20,26.424791739610104,1,1,68.70445852298627,0.14070714564934694,0.08652305283374317
"DeKalb, GA",500,660.8878631909253,1.8686000448464013,7,8,10.574205811054803,1,1,68.73233777185622,0.12369227994227994,0.08724187282764262
"Lee, FL",348,461.1653701912246,0.44358899185478834,2,11,14.577066299147905,0,0,38.430447515935384,0.12509569377990426,0.1631480124564939
"San Joaquin, CA",185,245.79491403821115,0.13296725411839116,2,11,14.614832726596338,2,2,9.300348098743124,0.03412010276172117,0.12799474094273477
"Monroe, NY",512,689.5864366967733,0.7790508361102235,3,14,18.855879128427393,3,0,59.26133440362895,0.10410509031198689,0.28070752455598547
"Denver, CO",716,999.3133210140518,4.620249080467187,4,14,19.53964594161554,0,0,79.55427276229183,0.10539997558373448,0.04359925788497221
"El Paso, CO",374,523.9151873767258,0.17585104382170394,4,18,25.215169445938677,0,0,36.421911421911425,0.09140127388535035,0.04895104895104896
"Polk, FL",142,200.56242222909594,0.07061163600198907,2,4,5.649645696594252,2,2,32.485462755416954,0.17514254892895664,0.1981795241528479
"Norfolk, MA",1199,1699.7737415436611,3.0269369619550126,0,25,35.441487521761076,0,0,151.68956659313739,0.13072045786107056,0.12739497419099644
"Lake, IL",683,974.2084378146922,1.539432461063403,8,13,18.542766751963395,3,0,96.99293377950083,0.12464059454191034,0.17914827569481495
"Jackson, MO",135,192.77259830331553,0.22333984051881017,0,3,4.283835517851457,0,0,0.0,0.15533980582524276,0.15727876774388394
"Davidson, TN",741,1069.9016874414333,1.4701505862746267,3,6,8.66317155823023,1,1,98.18261099327593,0.09598126086905079,0.08039154831320566
"Will, IL",582,840.6638644537852,0.6954152776284188,0,11,15.888835926102468,0,0,102.55521370484321,0.23200835622710614,0.3024136428026588
"Bernalillo, NM",202,297.6273793614567,0.17401342143121734,1,7,10.31382007688216,0,0,79.56375487880524,0.25607584328514565,0.13861386138613863
"Hudson, NJ",3491,5163.735225075844,75.5791296817493,0,78,115.3742043987155,1,0,835.7234036573623,0.24014598823703082,0.18888591864278592
